HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,12.464683721743713
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,12.823407325129136
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1444,12.553855673297253
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.398662139500745
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.3690329775955
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,12.58462893708112
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.346217123424942
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.179163828972955
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.727173568846068
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,11.989538454196522
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.160813739124558
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.828169482315069
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.420324785138387
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,1035,12.8723110095329
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.590671560956952
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.842321378456028
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.148635888880573
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,12.187852665187348
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.310986561477193
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1743,12.614480087392462
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.346217123424942
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.372785518140974
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.642041093482533
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.298966271455122
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.322868527443921
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.306994324111145
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.400652222487443
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.05339338263787
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,914,12.170030874182908
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.032558192096367
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.660467590592756
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,12.201637826240061
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,12.156173116242744
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,636,12.376524029753641
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.671641455485796
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.553855673297253
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,11.390701332224854
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,12.441528093440446
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,11.872081328880434
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,12.84932029680269
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,12.438025282665697
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.759345502400416
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.132641367444291
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.192708745072041
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,11.055229781258411
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.90352732692958
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.306994324111145
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,11.94917839323071
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.748376961818357
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.569360674739151
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,11.018186422218175
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.69361838333744
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,12.489151640055319
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.914586156970584
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,779,12.179163828972955
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.306994324111145
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.278597937334398
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,11.08959165831958
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.613847143551201
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,12.728336601436993
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.60581453443263
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.566895973015217
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.596677890731314
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,12.487651128921469
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,843,12.690897150985462
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.59966758106785
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,12.76188693118902
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,12.257806093036127
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,12.223612911694648
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1519,13.09181138210981
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.505847554011094
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.653069942864997
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.24512026678084
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.890330432244202
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.508485623444166
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.475893654630065
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.179163828972955
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,11.274173229472865
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.629079657489251
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.24512026678084
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,10.967577407165814
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,12.918934214199219
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.78447373674044
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,10.560592961748808
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,12.54758572714582
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.538110062861273
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,12.522108911478483
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.280651221218394
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,12.11098144174885
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.950321963037172
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1451,12.132641367444291
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.083854162805563
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,12.520492798152045
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.660467590592756
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.415389810633465
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.497618493976626
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,13.182466451473672
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,11.36024037730458
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.828961730918538
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,12.751682231533106
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,11.97849427492585
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,11.986902440012312
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,11.512925464970229
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,12.03780782822595
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,914,12.553855673297253
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1796,12.420324785138387
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.306994324111145
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,11.88539895211775
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,12.643469143597118
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,12.544435950097602
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,832,12.62326538204989
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,846,12.692260230216633
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.733858625870964
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,12.09380499712438
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,11.14223852419794
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,11.71278401254773
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.956020277658746
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,11.192251771557805
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,12.378385953127058
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.879282386927045
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,11.950321963037172
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,12.032558192096367
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,814,12.544435950097602
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.705510834829802
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,12.156173116242744
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,13.254787156851785
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,12.451963503920148
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.90949781613008
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,12.832909068802698
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.214878757658266
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,12.83964761904094
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,11.103015493074828
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,871,11.556214813068626
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,11.984028489659265
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,11.679634105359007
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,12.969685279462622
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,12.472509375472486
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,12.3384946730367
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,10.928668563118356
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,12.156173116242744
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,11.848132615993713
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,12.522108911478483
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,11.950321963037172
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,12.238718909662012
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,12.192708745072041
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,12.120667250987378
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,11.167557780910645
